id,latitude,longitude,name,address,zip,city,state
348,46.97179532778565,7.44576189083437,Rossfeld,Rossfeldstrasse 7,3004,Bern,Active
349,46.93874927649203,7.475214965129108,Hauptsitz PubliBike,Weltpoststrasse 5,3015,Bern,Active
352,46.94030529,7.458606888,Thunplatz,Thunplatz 52,3005,Bern,Active
353,46.94831,7.44035,Bahnhofplatz Mobile Station Bern 4,Spitalgasse 44,3011,Bern,Active
371,46.93343629,7.466466659,Elfenau,Elfenauweg 92,3006,Bern,Active
372,46.970948,7.472052,GVB,Papiermühlestrasse 130,3063,Ittigen,Active
374,46.88922737105038,7.367057544825261,SwissBikePark Oberried,Oberriedgässli 6,3145,Niederscherli,Active
411,46.9257473,7.3770699,Niederwangen Bahnhof,Freiburgstrasse 554a,3098,Köniz,Active
412,46.9266467,7.4359484,Bellevuestrasse,Bellevuestrasse 75,3095,Köniz,Active
414,46.926197,7.417231,Brühlplatz,Schwarzenburgstrasse 236,3098,Köniz,Active
415,46.916092,7.418571,Entsorgungshof Werkhof,Muhlernstrasse 101,3098,Köniz,Active
416,46.93046,7.428167,Steinhölzli,Kirchstrasse 6a,3097,Köniz,Active
417,46.92903811738819,7.417226193945767,Neuhausplatz,Könizstrasse 249,3097,Köniz,Active
418,46.92878380186514,7.446101,Wabern Bahnhof,Bahnhofstrasse 16,3084,Köniz,Active
420,46.9356189,7.4165883,Vidmar,Könizstrasse 161,3097,Köniz,Active
421,46.92298192,7.414113104,Köniz Zentrum,Bläuacker 10,3098,Köniz,Active
422,46.9277581,7.453414085,Tram-Endstation,Seftigenstrasse 280,3084,Köniz,Active
423,46.933129,7.455933,Camping Eichholz,Strandweg 49,3084,Köniz,Active
456,46.96503384,7.4589916,Wankdorffeldstrasse,Wankdorffeldstrasse 97,3014,Bern,Active
457,46.95253177,7.4498365,Kursaal,Sonnenbergstrasse 14,3013,Bern,Active
458,46.94581378,7.472935782,Giacomettistrasse,Giacomettistrasse 25,3006,Bern,Active
459,46.958241,7.4474859,Römerweg,Turnweg 19,3013,Bern,Active
460,46.9662414,7.4558243,Stauffacherstrasse,Stauffacherstrasse 65,3014,Bern,Active
